"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Long Zone 2 Run","Run","Warm Up: 5 minutes in zone 1 Main Set: 50 minutes in zone 2 Cool Down: 5 minutes in zone 1","1","","2024-03-03",".","8593.4599609375","","","","","1.38964354991913","1.71800005435944","","100","","132","157","","","0.895181045596485","124.36","5","54","2","0","0","0","0","","","","","","","","","","","","","","",""
"Easy mixed Effort spin","Bike","45 minutes in Zones 1-2","0.75","","2024-03-05","Choose to do this in Zone 1 or 2 based off of how you're feeling but don't go above zone 2","5291.68994140625","119","199","76.375","","0.179605826735497","8.28120491612872","","31","","118","127","","","0.409007282841638","2.87","7","0","0","0","0","0","0","","","","11","0","0","0","0","0","","","","","",""
"Zone 3 Intervals","Run","Warm up for 10 minutes in zone 1-2 then do: 6X3 minutes in zone 3 on 2 minutes recovery in-between. cool down for 10 minutes in zone 1-2","0.833333333333333","","2024-03-05","","6328.68994140625","","","","","0.697031378746033","2.5220000743866","","153","","142","152","","","1.07341401484278","88.19","6","35","0","0","0","0","0","","","","","","","","","","","","","","",""
"Virtual Activity Cycling","Bike","","","","2024-03-05","","13187.8095703125","142","475","316.729","","0.617566406726837","5.92977049024843","","44","","133","157","","","0.486420483282152","14.45","14","22","0","0","0","0","0","","","","29","7","0","0","0","0","","","","","",""
"Cycling","Bike","","","","2024-03-05","","14105.240234375","","","","","0.750490248203278","5.22100019454956","","44","","133","157","","","0.651603506926374","35.05","21","24","0","0","0","0","0","","","","","","","","","","","","","","",""
"Base Building","Bike","Warm Up: -7 minutes Zone 1 Main Set: 4 x 16 minutes in Zone 2 with 1 minute of recovery in Zone 1 between intervals","1.25","","2024-03-06","This is a base building workout in Zone 2 broken up by short recoveries in Zone 1","0","","","","","1.14766776561737","0","","","","131","148","","","0.634328658010422","51.32","34","32","0","0","0","0","0","","","","","","","","","","","","","","",""
"Broken 500s","Swim","Warm up Zone 1: 100 swim, 100 kick, 100 Pull 4x50 kick Zone 1 500 Zone 3 free broken done as: 150, 200, 150 on 15 seconds rest 100 Zone 2 pull on 20 seconds rest 500 free Zone 3 broken done as: 200, 100, 200 on 15 seconds rest 4x25 Zone 5 sprint 500 free Zone 3 broken done as: 100, 100, 100, 100, 100 on 15 seconds rest 100 Zone 1 easy cool down","0.876843110720317","2103.1201171875","2024-03-06","This workout requires paddles to be completed as written, but can be done without. You may kick with or without fins","1000","","","","","0.383405834833781","0.724112961622013","","21","","119","138","","","0.90562581650004","28.48","5","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Vo2 short recovery intervals","Bike","Warm Up: -5 minutes Zone 1 -10 minutes low Zone 2 -10 minutes high zone 2 Main Set: -10 x 1 minute sprints in Zone 4 with 1 minute of recovery in Zone 1 between intervals Cool Down: -10 minutes zone 2 -5 minutes Zone 1","1","","2024-03-07","There are short rests in between intervals to help with recovery time. The effort on the intervals will be close to maximum effort","36677.109375","147","297","536.754","","1.14369964599609","10.0347768467852","","56","","131","148","","","0.502329981873915","27.01","28","31","0","0","0","0","0","","","","52","8","1","0","0","0","","","","","",""
"Virtual Activity Cycling","Bike","","","","2024-03-07","","24192.23046875","147","594","489.322","","0.925900280475616","7.25839498012301","","54","","142","169","","","0.556808624783287","28.52","11","25","16","4","2","0","0","","","","42","11","2","1","0","1","","","","","",""
"Cycling","Bike","","","","2024-03-07","","22680.19921875","","","","","0.953881084918976","6.60500001907349","","53","","142","169","","","0.737049596091439","57.34","12","26","15","4","1","0","0","","","","","","","","","","","","","","",""
